date,iran,Jeffrey Epstein
2025-02-16,1,0
2025-02-23,1,1
2025-03-02,1,0
2025-03-09,1,0
2025-03-16,2,0
2025-03-23,1,0
2025-03-30,2,0
2025-04-06,2,0
2025-04-13,2,0
2025-04-20,1,0
2025-04-27,2,0
2025-05-04,2,0
2025-05-11,1,0
2025-05-18,2,0
2025-05-25,1,0
2025-06-01,1,1
2025-06-08,23,0
2025-06-15,58,0
2025-06-22,100,0
2025-06-29,7,0
2025-07-06,3,1
2025-07-13,4,3
2025-07-20,4,2
2025-07-27,5,1
2025-08-03,2,1
2025-08-10,2,0
2025-08-17,1,0
2025-08-24,1,0
2025-08-31,1,1
2025-09-07,1,1
2025-09-14,1,0
2025-09-21,1,1
2025-09-28,2,0
2025-10-05,1,0
2025-10-12,1,0
2025-10-19,1,0
2025-10-26,1,0
2025-11-02,2,0
2025-11-09,2,2
2025-11-16,2,3
2025-11-23,2,1
2025-11-30,2,1
2025-12-07,3,1
2025-12-14,2,1
2025-12-21,2,2
2025-12-28,7,1
2026-01-04,7,1
2026-01-11,19,0
2026-01-18,6,1
2026-01-25,8,1
2026-02-01,7,8
2026-02-08,4,6
2026-02-15,6,4
